api_domain,api_count,table_count,sample_apis,sample_tables
mgt,103,59,api/mgt/comments/delete.php; api/mgt/comments/post.php; api/mgt/comments/update.php; api/mgt/config_data/bulk.php; api/mgt/config_data/delete.php; api/mgt/config_data/post.php; api/mgt/config_data/update.php; api/mgt/configs/delete.php; api/mgt/configs/fill.php; api/mgt/configs/post.php; api/mgt/configs/update.php; api/mgt/dcc/delete.php; api/mgt/dcc/post.php; api/mgt/dcc/update.php; api/mgt/enroute_constraints/delete.php,assigned; dbo.airport_config; dbo.airport_config_rate; dbo.airport_config_rate_history; dbo.airport_config_runway; dbo.apts; dbo.config_modifier; dbo.public_routes; dbo.tmi_advisories; dbo.tmi_coordination_log; dbo.tmi_discord_posts; dbo.tmi_entries; dbo.tmi_events; dbo.tmi_program_coordination_log; dbo.tmi_programs
data,52,54,api/data/cdm/status.php; api/data/configs.php; api/data/hibernation_stats.php; api/data/personnel.php; api/data/plans.l.php; api/data/plans/configs.php; api/data/plans/dcc_staffing.php; api/data/plans/enroute_constraints.php; api/data/plans/enroute_inits.php; api/data/plans/enroute_inits_timeline.php; api/data/plans/enroute_planning.php; api/data/plans/enroute_staffing.php; api/data/plans/forecast.php; api/data/plans/goals.php; api/data/plans/group_flights.php,assigned; dbo.airport_config; dbo.airport_config_rate_history; dbo.airport_config_runway; dbo.airport_weather_impact; dbo.cdm_airport_status; dbo.cdm_compliance_live; dbo.cdm_messages; dbo.config_modifier; dbo.ctp_route_templates; dbo.modifier_category; dbo.modifier_type; dbo.tmi_advisories; dbo.tmi_entries; dbo.tmi_programs
swim,38,50,api/swim/v1/auth.php; api/swim/v1/cdm/airport-status.php; api/swim/v1/cdm/compliance.php; api/swim/v1/cdm/readiness.php; api/swim/v1/cdm/status.php; api/swim/v1/controllers.php; api/swim/v1/flight.php; api/swim/v1/flights.php; api/swim/v1/health.php; api/swim/v1/ingest/acars.php; api/swim/v1/ingest/adl.php; api/swim/v1/ingest/cdm.php; api/swim/v1/ingest/metering.php; api/swim/v1/ingest/simtraffic.php; api/swim/v1/ingest/track.php,dbo.adl_flight_aircraft; dbo.adl_flight_core; dbo.adl_flight_plan; dbo.adl_flight_position; dbo.adl_flight_times; dbo.adl_flight_tmi; dbo.airport_taxi_reference; dbo.airport_taxi_reference_detail; dbo.apts; dbo.cdm_airport_status; dbo.cdm_compliance_live; dbo.gdp_log; dbo.ntml; dbo.swim_acars_messages; dbo.swim_acars_pdc_queue
tmi,28,32,api/tmi/AdvisoryNumber.php; api/tmi/active.php; api/tmi/advisories.php; api/tmi/entries.php; api/tmi/gdp_apply.php; api/tmi/gdp_preview.php; api/tmi/gdp_purge.php; api/tmi/gdp_purge_local.php; api/tmi/gdp_simulate.php; api/tmi/gs/activate.php; api/tmi/gs/create.php; api/tmi/gs/demand.php; api/tmi/gs/extend.php; api/tmi/gs/flights.php; api/tmi/gs/get.php,dbo.adl_flight_core; dbo.adl_flight_plan; dbo.adl_flight_times; dbo.adl_flight_tmi; dbo.adl_flights; dbo.adl_flights_gdp; dbo.adl_flights_gs; dbo.adl_slots_gdp; dbo.airports; dbo.apts; dbo.gdp_log; dbo.ntml; dbo.ntml_info; dbo.swim_flights; dbo.tmi_advisories
ctp,24,20,api/ctp/audit_log.php; api/ctp/boundaries.php; api/ctp/changelog.php; api/ctp/common.php; api/ctp/demand.php; api/ctp/flights/assign_edct.php; api/ctp/flights/assign_edct_batch.php; api/ctp/flights/compliance.php; api/ctp/flights/detect.php; api/ctp/flights/exclude.php; api/ctp/flights/get.php; api/ctp/flights/list.php; api/ctp/flights/modify_route.php; api/ctp/flights/remove_edct.php; api/ctp/flights/routes_geojson.php,dbo.adl_boundary; dbo.adl_flight_core; dbo.adl_flight_plan; dbo.adl_flight_planned_crossings; dbo.adl_flight_position; dbo.adl_flight_times; dbo.coded_departure_routes; dbo.ctp_audit_log; dbo.ctp_flight_control; dbo.ctp_route_templates; dbo.ctp_sessions; dbo.nav_fixes; dbo.tmi_flight_control; dbo.tmi_flow_event_participants; dbo.tmi_flow_events
gdt,20,11,api/gdt/common.php; api/gdt/demand/hourly.php; api/gdt/flights/list.php; api/gdt/programs/activate.php; api/gdt/programs/active.php; api/gdt/programs/cancel.php; api/gdt/programs/create.php; api/gdt/programs/fairness.php; api/gdt/programs/flight_list.php; api/gdt/programs/get.php; api/gdt/programs/list.php; api/gdt/programs/model.php; api/gdt/programs/publish.php; api/gdt/programs/purge.php; api/gdt/programs/reoptimize.php,dbo.adl_flight_changelog; dbo.adl_flight_core; dbo.tmi_events; dbo.tmi_flight_control; dbo.tmi_flight_list; dbo.tmi_program_coordination_log; dbo.tmi_programs; dbo.tmi_proposal_facilities; dbo.tmi_proposals; dbo.tmi_slots; dbo.vw_adl_flights
adl,18,29,api/adl/AdlQueryHelper.php; api/adl/airway.php; api/adl/atis-debug.php; api/adl/boundaries.php; api/adl/cleanup-queue.php; api/adl/demand/airway.php; api/adl/demand/batch.php; api/adl/demand/debug.php; api/adl/demand/details.php; api/adl/demand/fix.php; api/adl/demand/monitors.php; api/adl/demand/segment.php; api/adl/diagnose.php; api/adl/diagnostic.php; api/adl/import_boundaries.php,adl_boundary; adl_boundary_import_log; adl_flight_core; boundary_hierarchy; dbo.adl_flight_aircraft; dbo.adl_flight_core; dbo.adl_flight_plan; dbo.adl_flight_position; dbo.adl_flight_times; dbo.adl_flight_tmi; dbo.adl_flight_waypoints; dbo.adl_flights_history; dbo.adl_parse_queue; dbo.adl_run_log; dbo.airway_segments
nod,13,25,api/nod/advisories.php; api/nod/advisory_import.php; api/nod/discord-post.php; api/nod/discord.php; api/nod/fea.php; api/nod/flows/configs.php; api/nod/flows/elements.php; api/nod/flows/gates.php; api/nod/flows/suggestions.php; api/nod/jatoc.php; api/nod/tmi_active.php; api/nod/tmu_oplevel.php; api/nod/tracks.php,dbo.adl_flight_tmi; dbo.adl_flights_history; dbo.airways; dbo.apts; dbo.coded_departure_routes; dbo.dcc_advisories; dbo.dcc_discord_tmi; dbo.demand_monitors; dbo.facility_flow_configs; dbo.facility_flow_elements; dbo.facility_flow_gates; dbo.gdp_log; dbo.jatoc_incident_updates; dbo.jatoc_incidents; dbo.jatoc_ops_level
demand,9,16,api/demand/active_config.php; api/demand/airports.php; api/demand/atis.php; api/demand/config_search.php; api/demand/configs.php; api/demand/override.php; api/demand/scheduled_configs.php; api/demand/summary.php; api/demand/tmi_programs.php,dbo.airport_config; dbo.apts; dbo.artcc_facilities; dbo.artcc_tier_group_members; dbo.facility_tier_config_members; dbo.facility_tier_configs; dbo.manual_rate_override; dbo.tmi_entries; dbo.tmi_programs; dbo.vatsim_atis; dbo.vw_adl_flights; dbo.vw_airport_config_rates; dbo.vw_airport_config_summary; dbo.vw_current_airport_config; dbo.vw_current_runways_in_use
splits,8,6,api/splits/active.php; api/splits/areas.php; api/splits/configs.php; api/splits/debug.php; api/splits/presets.php; api/splits/scheduled.php; api/splits/test.php; api/splits/tracons.php,dbo.splits_preset_positions; dbo.splits_presets; dbo.tracons; splits_areas; splits_configs; splits_positions
